model,bin,date,% buy,% sell,% hold
Lasso,1,2000-01-28,1.0,0.0,0.0
Lasso,1,2000-02-28,0.24396782841823056,0.08847184986595175,0.6675603217158177
Lasso,1,2000-03-28,0.13354037267080746,0.19513457556935818,0.6713250517598344
Lasso,1,2000-04-28,0.47073002754820936,0.5210055096418733,0.008264462809917356
Lasso,1,2000-05-28,0.2772536687631027,0.26467505241090145,0.4580712788259958
Lasso,1,2000-06-28,0.16080097087378642,0.06371359223300971,0.7754854368932039
Lasso,1,2000-07-28,0.47586442998972955,0.5237932214994865,0.00034234851078397807
Lasso,1,2000-08-28,0.477109345440787,0.4691638289822172,0.05372682557699584
Lasso,1,2000-09-28,0.6178326474622771,0.3717421124828532,0.010425240054869684
Lasso,1,2000-10-28,0.39078911931053056,0.5838944249932669,0.02531645569620253
Lasso,1,2000-11-28,0.4238636363636364,0.47954545454545455,0.09659090909090909
Lasso,1,2000-12-28,0.25960482985729966,0.16959385290889134,0.570801317233809
Lasso,1,2001-01-28,0.601123595505618,0.3491171749598716,0.04975922953451043
Lasso,1,2001-02-28,0.2871900826446281,0.1180637544273908,0.5947461629279811
Lasso,1,2001-03-28,0.31238404452690166,0.6788033395176253,0.008812615955473098
Lasso,1,2001-04-28,0.16574245224892176,0.09858287122612445,0.7356746765249538
Lasso,1,2001-05-28,0.5982042648709316,0.3945005611672278,0.007295173961840628
Lasso,1,2001-06-28,0.3733567046450482,0.06105755185509787,0.5655857434998539
Lasso,1,2001-07-28,0.17199272538321642,0.668225513120291,0.1597817614964926
Lasso,1,2001-08-28,0.4867292772560229,0.4430379746835443,0.07023274806043282
Lasso,1,2001-09-28,0.26229508196721313,0.20546448087431693,0.5322404371584699
Lasso,1,2001-10-28,0.14836795252225518,0.256379821958457,0.5952522255192878
Lasso,1,2001-11-28,0.7046769527483124,0.2856798457087753,0.009643201542912247
Lasso,1,2001-12-28,0.06875792141951838,0.3314321926489227,0.5998098859315589
Lasso,1,2002-01-28,0.03002309468822171,0.14318706697459585,0.8267898383371824
Lasso,1,2002-02-28,0.4113722998729352,0.5803684879288437,0.008259212198221092
Lasso,1,2002-03-28,0.2804407713498623,0.2958677685950413,0.4236914600550964
Lasso,1,2002-04-28,0.5886013756960367,0.4055027841467409,0.005895840157222404
Lasso,1,2002-05-28,0.4358814352574103,0.5528861154446177,0.011232449297971918
Lasso,1,2002-06-28,0.23344191096634093,0.32030401737242126,0.44625407166123776
Lasso,1,2002-07-28,0.3916049382716049,0.2088888888888889,0.3995061728395062
Lasso,1,2002-08-28,0.23292383292383292,0.37641277641277643,0.3906633906633907
Lasso,1,2002-09-28,0.4620008587376557,0.48175182481751827,0.056247316444826105
Lasso,1,2002-10-28,0.5171009771986971,0.3501628664495114,0.13273615635179153
Lasso,1,2002-11-28,0.5656843844670889,0.40402093087303775,0.030294684659873315
Lasso,1,2002-12-28,0.039573143619386394,0.17252112049799911,0.7879057358826145
Lasso,1,2003-01-28,0.43002153183635805,0.5622885266071977,0.007689941556444171
Lasso,1,2003-02-28,0.3675675675675676,0.5018018018018018,0.13063063063063063
Lasso,1,2003-03-28,0.314070351758794,0.3015075376884422,0.3844221105527638
Lasso,1,2003-04-28,0.5100222717149221,0.4316258351893096,0.058351893095768374
Lasso,1,2003-05-28,0.5806129247168554,0.37008660892738177,0.04930046635576282
Lasso,1,2003-06-28,0.06864197530864198,0.13037037037037036,0.8009876543209876
Lasso,1,2003-07-28,0.39780896953098255,0.5806230742896269,0.02156795617939062
Lasso,1,2003-08-28,0.627342549923195,0.27004608294930876,0.10261136712749616
Lasso,1,2003-09-28,0.25768025078369905,0.6689655172413793,0.07335423197492164
Lasso,1,2003-10-28,0.5727087576374745,0.4203665987780041,0.006924643584521385
Lasso,1,2003-11-28,0.5872689938398358,0.3948371956585509,0.017893810501613375
Lasso,1,2003-12-28,0.2849200833912439,0.6327310632383599,0.0823488533703961
Lasso,1,2004-01-28,0.514378478664193,0.3580705009276438,0.12755102040816327
Lasso,1,2004-02-28,0.6016189650187915,0.28794449262792715,0.11043654235328129
Lasso,1,2004-03-28,0.2942191544434858,0.6980155306298533,0.007765314926660914
Lasso,1,2004-04-28,0.4140449438202247,0.3960674157303371,0.1898876404494382
Lasso,1,2004-05-28,0.4132821075740944,0.38529088913282106,0.20142700329308452
Lasso,1,2004-06-28,0.49547511312217196,0.49592760180995477,0.008597285067873304
Lasso,1,2004-07-28,0.6409921671018277,0.21638381201044388,0.14262402088772846
Lasso,1,2004-08-28,0.2112908550676791,0.632221855397821,0.15648728953449983
Lasso,1,2004-09-28,0.24353741496598638,0.26598639455782314,0.49047619047619045
Lasso,1,2004-10-28,0.6427857380873042,0.33622125958013993,0.020993002332555816
Lasso,1,2004-11-28,0.3145718232044199,0.6408839779005525,0.04454419889502762
Lasso,1,2004-12-28,0.6064761904761905,0.3859047619047619,0.007619047619047619
Lasso,1,2005-01-28,0.16950904392764857,0.022739018087855296,0.8077519379844961
Lasso,1,2005-02-28,0.43320324226958873,0.5520864605223657,0.014710297208045632
Lasso,1,2005-03-28,0.24695121951219512,0.46290650406504064,0.29014227642276424
Lasso,1,2005-04-28,0.3398363750786658,0.20516047828823158,0.4550031466331026
Lasso,1,2005-05-28,0.2990497484628284,0.417551704863052,0.2833985466741196
Lasso,1,2005-06-28,0.6181481481481481,0.37703703703703706,0.004814814814814815
Lasso,1,2005-07-28,0.346588693957115,0.014035087719298246,0.6393762183235867
Lasso,1,2005-08-28,0.06104868913857678,0.3561797752808989,0.5827715355805243
Lasso,1,2005-09-28,0.3703567488047076,0.6208164766458256,0.008826774549466716
Lasso,1,2005-10-28,0.1869530628480509,0.10182975338106603,0.711217183770883
Lasso,1,2005-11-28,0.4342369477911647,0.4718875502008032,0.09387550200803213
Lasso,1,2005-12-28,0.6109036594473488,0.34167289021657954,0.0474234503360717
Lasso,1,2006-01-28,0.37348105789849895,0.6100786275911365,0.016440314510364547
Lasso,1,2006-02-28,0.6052535570959504,0.3396570594673477,0.05508938343670193
Lasso,1,2006-03-28,0.3753472222222222,0.59375,0.03090277777777778
Lasso,1,2006-04-28,0.6230197219527966,0.3006789524733269,0.07630132557387649
Lasso,1,2006-05-28,0.2296137339055794,0.6162374821173104,0.15414878397711015
Lasso,1,2006-06-28,0.4779627815866797,0.44662095984329087,0.07541625857002938
Lasso,1,2006-07-28,0.36491821771009586,0.38860688099266777,0.24647490129723632
Lasso,1,2006-08-28,0.4578313253012048,0.3770080321285141,0.16516064257028112
Lasso,1,2006-09-28,0.41579943235572375,0.47540208136234624,0.10879848628192999
Lasso,1,2006-10-28,0.676982021809608,0.24462127910403772,0.07839669908635426
Lasso,1,2006-11-28,0.07155896312522819,0.3373493975903614,0.5910916392844103
Lasso,1,2006-12-28,0.3442265795206972,0.09186637618010167,0.5639070442992011
Lasso,1,2007-01-28,0.28674144377336785,0.7034800115041703,0.009778544722461893
Lasso,1,2007-02-28,0.6856792394970868,0.2864152100582643,0.02790555044464888
Lasso,1,2007-03-28,0.20548885077186965,0.6425385934819897,0.15197255574614066
Lasso,1,2007-04-28,0.2842323651452282,0.28492392807745504,0.43084370677731676
Lasso,1,2007-05-28,0.6006216006216006,0.21561771561771562,0.18376068376068377
Lasso,1,2007-06-28,0.040172166427546625,0.23768531802965087,0.7221425155428025
Lasso,1,2007-07-28,0.43611705924339755,0.561741613133476,0.0021413276231263384
Lasso,1,2007-08-28,0.19536423841059603,0.33311258278145695,0.47152317880794703
Lasso,1,2007-09-28,0.4172494172494173,0.40034965034965037,0.18240093240093241
Lasso,1,2007-10-28,0.6273792093704246,0.32174231332357245,0.05087847730600293
Lasso,1,2007-11-28,0.3113952613764573,0.05866867243324558,0.6299360661902971
Lasso,1,2007-12-28,0.28174717963552215,0.708706971362453,0.009545849002024877
Lasso,1,2008-01-28,0.44787644787644787,0.44677330391616105,0.10535024820739107
Lasso,1,2008-02-28,0.5426070935052971,0.41501612160294793,0.04237678489175495
Lasso,1,2008-03-28,0.4456665200175979,0.5543334799824021,0.0
Lasso,1,2008-04-28,0.6476157082748948,0.24509116409537166,0.10729312762973352
Lasso,1,2008-05-28,0.029024943310657598,0.2816326530612245,0.6893424036281179
Lasso,1,2008-06-28,0.030098280098280097,0.06265356265356266,0.9072481572481572
Lasso,1,2008-07-28,0.4093385214007782,0.585603112840467,0.005058365758754864
Lasso,1,2008-08-28,0.6410690121786198,0.31732070365358594,0.04161028416779432
Lasso,1,2008-09-28,0.01902439024390244,0.21609756097560975,0.7648780487804878
Lasso,1,2008-10-28,0.3579750903977501,0.5946163117717959,0.047408597830454
Lasso,1,2008-11-28,0.2949894142554693,0.323923782639379,0.38108680310515175
Lasso,1,2008-12-28,0.4552752293577982,0.43922018348623854,0.10550458715596331
Lasso,1,2009-01-28,0.4942648592283629,0.4854014598540146,0.020333680917622523
Lasso,1,2009-02-28,0.3055555555555556,0.3005698005698006,0.3938746438746439
Lasso,1,2009-03-28,0.2161290322580645,0.23225806451612904,0.5516129032258065
Lasso,1,2009-04-28,0.6228,0.3244,0.0528
Lasso,1,2009-05-28,0.04743083003952569,0.11801242236024845,0.8345567476002259
